127.0.0.1 - - [11/Nov/2022:01:03:47 +0700] "GET /Shop/detail?id=9 HTTP/1.1" 200 6861
127.0.0.1 - - [11/Nov/2022:01:03:47 +0700] "GET /Shop/img/logo.png HTTP/1.1" 404 776
127.0.0.1 - - [11/Nov/2022:01:03:47 +0700] "GET /Shop/img/payment/payment-1.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:47 +0700] "GET /Shop/img/payment/payment-2.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:47 +0700] "GET /Shop/img/payment/payment-3.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:47 +0700] "GET /Shop/img/payment/payment-4.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:47 +0700] "GET /Shop/img/payment/payment-5.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:49 +0700] "POST /Shop/detail HTTP/1.1" 200 25
127.0.0.1 - - [11/Nov/2022:01:03:49 +0700] "GET /Shop/home HTTP/1.1" 200 10522
127.0.0.1 - - [11/Nov/2022:01:03:49 +0700] "GET /Shop/img/logo.png HTTP/1.1" 404 776
127.0.0.1 - - [11/Nov/2022:01:03:49 +0700] "GET /Shop/img/payment/payment-1.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:49 +0700] "GET /Shop/img/payment/payment-2.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:49 +0700] "GET /Shop/img/payment/payment-3.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:49 +0700] "GET /Shop/img/payment/payment-4.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:49 +0700] "GET /Shop/img/payment/payment-5.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:51 +0700] "GET /Shop/cart HTTP/1.1" 200 8478
127.0.0.1 - - [11/Nov/2022:01:03:51 +0700] "GET /Shop/img/logo.png HTTP/1.1" 404 776
127.0.0.1 - - [11/Nov/2022:01:03:51 +0700] "GET /Shop/img/payment/payment-1.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:51 +0700] "GET /Shop/img/payment/payment-2.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:51 +0700] "GET /Shop/img/payment/payment-3.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:51 +0700] "GET /Shop/img/payment/payment-4.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:03:51 +0700] "GET /Shop/img/payment/payment-5.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:16:16 +0700] "GET /Shop/cart HTTP/1.1" 200 9548
127.0.0.1 - - [11/Nov/2022:01:16:16 +0700] "GET /Shop/img/logo.png HTTP/1.1" 404 776
127.0.0.1 - - [11/Nov/2022:01:16:16 +0700] "GET /Shop/img/payment/payment-1.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:16:16 +0700] "GET /Shop/img/payment/payment-3.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:16:16 +0700] "GET /Shop/img/payment/payment-2.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:16:16 +0700] "GET /Shop/img/payment/payment-4.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:16:16 +0700] "GET /Shop/img/payment/payment-5.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:17:41 +0700] "GET /Shop/cart HTTP/1.1" 200 9528
127.0.0.1 - - [11/Nov/2022:01:17:41 +0700] "GET /Shop/img/logo.png HTTP/1.1" 404 776
127.0.0.1 - - [11/Nov/2022:01:17:41 +0700] "GET /Shop/img/payment/payment-1.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:17:41 +0700] "GET /Shop/img/payment/payment-2.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:17:41 +0700] "GET /Shop/img/payment/payment-3.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:17:41 +0700] "GET /Shop/img/payment/payment-4.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:17:41 +0700] "GET /Shop/img/payment/payment-5.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:18:10 +0700] "GET /Shop/cart HTTP/1.1" 200 9468
127.0.0.1 - - [11/Nov/2022:01:18:10 +0700] "GET /Shop/img/logo.png HTTP/1.1" 404 776
127.0.0.1 - - [11/Nov/2022:01:18:10 +0700] "GET /Shop/img/payment/payment-1.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:18:10 +0700] "GET /Shop/img/payment/payment-3.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:18:10 +0700] "GET /Shop/img/payment/payment-2.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:18:10 +0700] "GET /Shop/img/payment/payment-4.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:18:10 +0700] "GET /Shop/img/payment/payment-5.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:18:46 +0700] "GET /Shop/cart HTTP/1.1" 200 9538
127.0.0.1 - - [11/Nov/2022:01:18:46 +0700] "GET /Shop/img/logo.png HTTP/1.1" 404 776
127.0.0.1 - - [11/Nov/2022:01:18:46 +0700] "GET /Shop/img/payment/payment-4.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:18:46 +0700] "GET /Shop/img/payment/payment-2.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:18:46 +0700] "GET /Shop/img/payment/payment-5.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:18:46 +0700] "GET /Shop/img/payment/payment-3.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:18:46 +0700] "GET /Shop/img/payment/payment-1.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:19:05 +0700] "GET /Shop/cart HTTP/1.1" 200 9546
127.0.0.1 - - [11/Nov/2022:01:19:05 +0700] "GET /Shop/img/logo.png HTTP/1.1" 404 776
127.0.0.1 - - [11/Nov/2022:01:19:05 +0700] "GET /Shop/img/payment/payment-1.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:19:05 +0700] "GET /Shop/img/payment/payment-3.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:19:05 +0700] "GET /Shop/img/payment/payment-2.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:19:05 +0700] "GET /Shop/img/payment/payment-4.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:19:05 +0700] "GET /Shop/img/payment/payment-5.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:19:17 +0700] "GET /Shop/cart HTTP/1.1" 200 9546
127.0.0.1 - - [11/Nov/2022:01:19:17 +0700] "GET /Shop/img/logo.png HTTP/1.1" 404 776
127.0.0.1 - - [11/Nov/2022:01:19:17 +0700] "GET /Shop/img/payment/payment-1.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:19:17 +0700] "GET /Shop/img/payment/payment-2.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:19:17 +0700] "GET /Shop/img/payment/payment-5.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:19:17 +0700] "GET /Shop/img/payment/payment-4.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:19:17 +0700] "GET /Shop/img/payment/payment-3.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:19:54 +0700] "GET /Shop/cart HTTP/1.1" 200 9586
127.0.0.1 - - [11/Nov/2022:01:19:54 +0700] "GET /Shop/img/logo.png HTTP/1.1" 404 776
127.0.0.1 - - [11/Nov/2022:01:19:54 +0700] "GET /Shop/img/payment/payment-1.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:19:54 +0700] "GET /Shop/img/payment/payment-4.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:19:54 +0700] "GET /Shop/img/payment/payment-2.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:19:54 +0700] "GET /Shop/img/payment/payment-3.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:19:54 +0700] "GET /Shop/img/payment/payment-5.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:21:17 +0700] "GET /Shop/cart HTTP/1.1" 200 9602
127.0.0.1 - - [11/Nov/2022:01:21:17 +0700] "GET /Shop/img/logo.png HTTP/1.1" 404 776
127.0.0.1 - - [11/Nov/2022:01:21:17 +0700] "GET /Shop/img/payment/payment-1.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:21:17 +0700] "GET /Shop/img/payment/payment-3.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:21:17 +0700] "GET /Shop/img/payment/payment-2.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:21:17 +0700] "GET /Shop/img/payment/payment-4.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:21:17 +0700] "GET /Shop/img/payment/payment-5.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:21:19 +0700] "GET /Shop/cart HTTP/1.1" 200 9602
127.0.0.1 - - [11/Nov/2022:01:21:19 +0700] "GET /Shop/img/logo.png HTTP/1.1" 404 776
127.0.0.1 - - [11/Nov/2022:01:21:19 +0700] "GET /Shop/img/payment/payment-1.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:21:19 +0700] "GET /Shop/img/payment/payment-2.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:21:19 +0700] "GET /Shop/img/payment/payment-3.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:21:19 +0700] "GET /Shop/img/payment/payment-4.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:21:19 +0700] "GET /Shop/img/payment/payment-5.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:21:39 +0700] "GET /Shop/cart HTTP/1.1" 200 9632
127.0.0.1 - - [11/Nov/2022:01:21:39 +0700] "GET /Shop/img/logo.png HTTP/1.1" 404 776
127.0.0.1 - - [11/Nov/2022:01:21:39 +0700] "GET /Shop/img/payment/payment-1.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:21:39 +0700] "GET /Shop/img/payment/payment-2.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:21:39 +0700] "GET /Shop/img/payment/payment-3.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:21:39 +0700] "GET /Shop/img/payment/payment-4.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:21:39 +0700] "GET /Shop/img/payment/payment-5.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:22:56 +0700] "GET /Shop/cart HTTP/1.1" 200 9744
127.0.0.1 - - [11/Nov/2022:01:22:56 +0700] "GET /Shop/img/logo.png HTTP/1.1" 404 776
127.0.0.1 - - [11/Nov/2022:01:22:56 +0700] "GET /Shop/img/payment/payment-2.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:22:56 +0700] "GET /Shop/img/payment/payment-4.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:22:56 +0700] "GET /Shop/img/payment/payment-3.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:22:56 +0700] "GET /Shop/img/payment/payment-1.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:22:56 +0700] "GET /Shop/img/payment/payment-5.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:22:57 +0700] "GET /Shop/cart HTTP/1.1" 200 9744
127.0.0.1 - - [11/Nov/2022:01:22:57 +0700] "GET /Shop/img/logo.png HTTP/1.1" 404 776
127.0.0.1 - - [11/Nov/2022:01:22:57 +0700] "GET /Shop/img/payment/payment-3.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:22:57 +0700] "GET /Shop/img/payment/payment-4.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:22:57 +0700] "GET /Shop/img/payment/payment-5.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:22:57 +0700] "GET /Shop/img/payment/payment-2.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:22:57 +0700] "GET /Shop/img/payment/payment-1.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:22:59 +0700] "GET /Shop/cart HTTP/1.1" 200 9744
127.0.0.1 - - [11/Nov/2022:01:23:00 +0700] "GET /Shop/cart HTTP/1.1" 200 9744
127.0.0.1 - - [11/Nov/2022:01:23:00 +0700] "GET /Shop/img/logo.png HTTP/1.1" 404 776
127.0.0.1 - - [11/Nov/2022:01:23:00 +0700] "GET /Shop/img/payment/payment-1.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:23:00 +0700] "GET /Shop/img/payment/payment-2.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:23:00 +0700] "GET /Shop/img/payment/payment-3.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:23:00 +0700] "GET /Shop/img/payment/payment-4.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:23:00 +0700] "GET /Shop/img/payment/payment-5.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:23:02 +0700] "GET /Shop/cart HTTP/1.1" 200 9744
127.0.0.1 - - [11/Nov/2022:01:23:02 +0700] "GET /Shop/img/logo.png HTTP/1.1" 404 776
127.0.0.1 - - [11/Nov/2022:01:23:02 +0700] "GET /Shop/img/payment/payment-1.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:23:02 +0700] "GET /Shop/img/payment/payment-2.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:23:02 +0700] "GET /Shop/img/payment/payment-3.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:23:02 +0700] "GET /Shop/img/payment/payment-4.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:23:02 +0700] "GET /Shop/img/payment/payment-5.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:23:03 +0700] "GET /Shop/cart HTTP/1.1" 200 9744
127.0.0.1 - - [11/Nov/2022:01:23:03 +0700] "GET /Shop/img/logo.png HTTP/1.1" 404 776
127.0.0.1 - - [11/Nov/2022:01:23:03 +0700] "GET /Shop/img/payment/payment-1.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:23:03 +0700] "GET /Shop/img/payment/payment-2.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:23:03 +0700] "GET /Shop/img/payment/payment-3.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:23:03 +0700] "GET /Shop/img/payment/payment-4.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:23:03 +0700] "GET /Shop/img/payment/payment-5.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:23:04 +0700] "GET /Shop/cart HTTP/1.1" 200 9744
127.0.0.1 - - [11/Nov/2022:01:23:04 +0700] "GET /Shop/img/logo.png HTTP/1.1" 404 776
127.0.0.1 - - [11/Nov/2022:01:23:04 +0700] "GET /Shop/img/payment/payment-1.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:23:04 +0700] "GET /Shop/img/payment/payment-2.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:23:04 +0700] "GET /Shop/img/payment/payment-3.png HTTP/1.1" 404 793
127.0.0.1 - - [11/Nov/2022:01:23:04 +0700] "GET /Shop/img/payment/payment-4.png HTTP/1.1" 404 793
